Fecha,Nombre,Dispositivo,Sensor,Valor,Unidad
02/07/2026 05:55,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 05:46,,heladera BM muestras,ambiente,26, °C
02/07/2026 05:39,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 05:31,,heladera BM muestras,ambiente,26, °C
02/07/2026 05:24,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 05:16,,heladera BM muestras,ambiente,26, °C
02/07/2026 05:07,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 05:00,,heladera BM muestras,ambiente,26, °C
02/07/2026 04:52,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 04:45,,heladera BM muestras,ambiente,26, °C
02/07/2026 04:36,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 04:30,,heladera BM muestras,ambiente,26, °C
02/07/2026 04:20,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 04:14,,heladera BM muestras,ambiente,26, °C
02/07/2026 04:05,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 03:59,,heladera BM muestras,ambiente,26, °C
02/07/2026 03:49,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 03:44,,heladera BM muestras,ambiente,26, °C
02/07/2026 03:27,,heladera BM muestras,ambiente,26, °C
02/07/2026 03:21,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 03:13,,heladera BM reactivos,heladera,10,min.
02/07/2026 03:13,,heladera BM reactivos,Freezer ,10,min.
02/07/2026 03:13,,heladera BM reactivos,ambiente ,10,min.
02/07/2026 03:11,,heladera BM muestras,ambiente,26, °C
01/07/2026 18:48,,heladera BM reactivos,Freezer ,-15, °C
01/07/2026 18:32,,heladera BM reactivos,Freezer ,-15, °C
03/07/2026 05:12,,heladera BM muestras,ambiente,26, °C
03/07/2026 05:08,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 04:57,,heladera BM muestras,ambiente,26, °C
03/07/2026 04:53,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 04:42,,heladera BM muestras,ambiente,26, °C
03/07/2026 04:37,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 04:25,,heladera BM muestras,ambiente,26, °C
03/07/2026 04:21,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 04:20,,Freezer EL-308,temp,10,min.
03/07/2026 04:11,,heladera BM muestras,ambiente,26, °C
03/07/2026 04:06,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 03:55,,heladera BM muestras,ambiente,26, °C
03/07/2026 03:51,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 03:40,,heladera BM muestras,ambiente,26, °C
03/07/2026 03:34,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 03:25,,heladera BM muestras,ambiente,26, °C
03/07/2026 03:18,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 03:11,,heladera BM muestras,ambiente,26, °C
03/07/2026 03:02,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 02:55,,heladera BM muestras,ambiente,26, °C
03/07/2026 02:47,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 02:39,,heladera BM muestras,ambiente,26, °C
03/07/2026 02:31,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 02:24,,heladera BM muestras,ambiente,26, °C
03/07/2026 02:15,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 02:10,,heladera BM muestras,ambiente,26, °C
03/07/2026 01:59,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 01:54,,heladera BM muestras,ambiente,26, °C
03/07/2026 01:43,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 01:38,,heladera BM muestras,ambiente,26, °C
03/07/2026 01:27,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 01:23,,heladera BM muestras,ambiente,26, °C
03/07/2026 01:11,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 01:07,,heladera BM muestras,ambiente,26, °C
03/07/2026 00:55,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 00:53,,heladera BM muestras,ambiente,26, °C
03/07/2026 00:39,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 00:38,,heladera BM muestras,ambiente,26, °C
03/07/2026 00:23,,heladera BM muestras,ambiente,26, °C
03/07/2026 00:23,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 00:07,,heladera BM reactivos,ambiente ,26, °C
03/07/2026 00:06,,heladera BM muestras,ambiente,26, °C
02/07/2026 23:51,,heladera BM muestras,ambiente,26, °C
02/07/2026 23:51,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 23:36,,heladera BM muestras,ambiente,26, °C
02/07/2026 23:34,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 23:21,,heladera BM muestras,ambiente,26, °C
02/07/2026 23:19,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 23:05,,heladera BM muestras,ambiente,26, °C
02/07/2026 23:02,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 22:50,,heladera BM muestras,ambiente,26, °C
02/07/2026 22:46,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 22:35,,heladera BM muestras,ambiente,26, °C
02/07/2026 22:30,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 22:21,,heladera BM muestras,ambiente,26, °C
02/07/2026 22:14,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 22:05,,heladera BM muestras,ambiente,26, °C
02/07/2026 21:59,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 21:48,,heladera BM muestras,ambiente,26, °C
02/07/2026 21:43,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 21:32,,heladera BM muestras,ambiente,26, °C
02/07/2026 21:27,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 21:17,,heladera BM muestras,ambiente,26, °C
02/07/2026 21:12,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 21:01,,heladera BM muestras,ambiente,26, °C
02/07/2026 20:55,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 20:46,,heladera BM muestras,ambiente,26, °C
02/07/2026 20:39,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 20:31,,heladera BM muestras,ambiente,26, °C
02/07/2026 20:23,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 20:16,,heladera BM muestras,ambiente,26, °C
02/07/2026 20:09,,EL-371 Estufa,temp,10,min.
02/07/2026 20:07,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 20:00,,heladera BM muestras,ambiente,26, °C
02/07/2026 19:51,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 19:46,,heladera BM muestras,ambiente,26, °C
02/07/2026 19:35,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 19:30,,heladera BM muestras,ambiente,26, °C
02/07/2026 19:19,,heladera BM reactivos,ambiente ,26, °C
02/07/2026 19:15,,heladera BM muestras,ambiente,26, °C
02/07/2026 18:48,,heladera BM muestras,ambiente,26, °C
04/07/2026 05:16,,heladera BM reactivos,ambiente ,26, °C
04/07/2026 05:10,,heladera BM muestras,ambiente,26, °C
04/07/2026 04:55,,heladera BM muestras,ambiente,26, °C
04/07/2026 04:45,,heladera BM reactivos,ambiente ,26, °C
04/07/2026 04:39,,heladera BM muestras,ambiente,26, °C
04/07/2026 04:14,,heladera BM muestras,ambiente,26, °C
04/07/2026 04:12,,heladera BM reactivos,ambiente ,26, °C
04/07/2026 04:08,,heladera BM reactivos,Freezer ,-15, °C
04/07/2026 03:58,,heladera BM muestras,ambiente,26, °C
04/07/2026 03:42,,heladera BM muestras,ambiente,26, °C
04/07/2026 03:34,,heladera BM reactivos,ambiente ,26, °C
04/07/2026 03:27,,heladera BM muestras,ambiente,26, °C
04/07/2026 03:06,,heladera BM muestras,ambiente,26, °C
04/07/2026 02:52,,heladera BM muestras,ambiente,26, °C
04/07/2026 02:41,,heladera BM muestras,ambiente,26, °C
04/07/2026 02:26,,heladera BM muestras,ambiente,26, °C
04/07/2026 02:23,,heladera BM reactivos,ambiente ,26, °C
04/07/2026 02:10,,heladera BM muestras,ambiente,26, °C
04/07/2026 01:55,,heladera BM muestras,ambiente,26, °C
04/07/2026 01:51,,heladera BM reactivos,ambiente ,26, °C
04/07/2026 01:39,,heladera BM muestras,ambiente,26, °C
04/07/2026 01:16,,heladera BM reactivos,ambiente ,26, °C
04/07/2026 01:14,,heladera BM muestras,ambiente,26, °C
04/07/2026 01:00,,heladera BM muestras,ambiente,26, °C
04/07/2026 00:41,,heladera BM muestras,ambiente,26, °C
04/07/2026 00:35,,heladera BM reactivos,ambiente ,26, °C
